first_name,second_name,goals,assists,player_score,missed_passes,red_cards,yellow_cards,player_price,position,goals_conceded,saves,code,club_id
Declan,Rice,2,0,92,47,0,4,50,3,0,0,204480,19
Carlos,Sánchez,0,0,9,4,0,0,45,3,0,0,42824,19
Robert,Snodgrass,2,5,85,33,0,10,55,3,0,0,18987,19
Jack,Wilshere,0,2,17,10,0,2,50,3,0,0,54102,19
Andriy,Yarmolenko,2,1,27,6,0,2,60,3,0,0,56377,19
Pablo,Zabaleta,0,1,56,35,0,4,45,2,0,0,20658,19
Ryan,Bennett,1,0,89,38,0,12,50,2,0,0,41727,20
Willy,Boly,4,0,120,43,1,2,50,2,0,0,90585,20
Jonathan,Castro Otto,1,3,103,39,0,6,55,2,0,0,114128,20
Ivan,Cavaleiro,3,1,48,11,0,1,50,3,0,0,166324,20
Conor,Coady,0,0,94,46,0,5,50,2,0,0,94147,20
Hélder,Costa,1,2,52,19,0,3,50,3,0,0,165808,20
Rúben Diogo,da Silva Neves,4,3,104,43,0,8,55,3,0,0,171317,20
Leander,Dendoncker,2,0,48,21,0,1,45,3,0,0,151589,20
Matt,Doherty,4,7,144,41,0,5,60,2,0,0,87835,20
Rui Pedro,dos Santos Patrício,0,0,118,46,0,0,50,1,12,22,38533,20
Morgan,Gibbs-White,0,1,37,12,0,1,50,3,0,0,222531,20
Raúl,Jiménez,13,10,181,40,0,4,75,4,0,0,102057,20
Diogo,Jota,9,8,139,29,0,11,65,4,0,0,194634,20
Max,Kilman,0,0,1,0,0,0,40,2,0,0,214048,20
Will,Norris,0,0,1,0,0,0,40,1,13,23,168399,20
John,Ruddy,0,0,7,0,0,0,45,1,3,9,19236,20
Romain,Saïss,2,0,47,17,0,7,45,2,0,0,107613,20
João Filipe Iria,Santos Moutinho,1,8,119,39,0,4,55,3,0,0,19624,20
Rúben Gonçalo,Silva Nascimento Vinagre,0,0,24,9,0,1,45,2,0,0,216054,20
Adama,Traoré,1,1,44,13,0,1,50,3,0,0,159533,20
