first_name,second_name,goals,assists,player_score,missed_passes,red_cards,yellow_cards,player_price,position,goals_conceded,saves,code,club_id
Romelu,Lukaku,12,1,115,38,0,4,85,4,0,0,66749,12
Anthony,Martial,10,4,122,25,0,2,75,3,0,0,148225,12
Juan,Mata,3,4,70,15,0,3,65,3,0,0,43670,12
Nemanja,Matic,1,0,59,37,1,6,50,3,0,0,62398,12
Scott,McTominay,2,0,38,18,0,1,50,3,0,0,195851,12
Andreas,Pereira,1,1,27,13,0,5,50,3,0,0,156689,12
Paul,Pogba,13,10,179,43,0,6,85,3,0,0,74208,12
Marcus,Rashford,10,7,128,35,1,3,85,4,0,0,176297,12
Frederico,Rodrigues de Paula Santos,1,2,40,19,0,2,55,3,0,0,101582,12
Marcos,Rojo,0,0,2,5,0,2,50,2,0,0,58893,12
Sergio,Romero,0,0,0,0,0,0,50,1,12,19,42899,12
Alexis,Sánchez,1,5,47,10,0,3,70,3,0,0,37265,12
Luke,Shaw,1,5,91,39,0,11,55,2,0,0,106760,12
Chris,Smalling,1,0,56,36,0,1,55,2,0,0,55909,12
Aaron,Wan-Bissaka,0,3,120,47,1,4,55,2,0,0,214590,12
Ashley,Young,2,3,73,44,1,8,55,2,0,0,18892,12
Miguel,Almirón,0,2,28,11,0,0,60,3,0,0,179018,13
Christian,Atsu,1,1,55,18,0,2,55,3,0,0,104953,13
Ciaran,Clark,3,0,42,15,0,1,45,2,0,0,58845,13
Karl,Darlow,0,0,0,0,0,0,45,1,12,23,59735,13
Martin,Dubravka,0,0,131,48,0,1,50,1,8,12,67089,13
Paul,Dummett,0,0,67,27,0,1,45,2,0,0,106618,13
Federico,Fernández,0,2,47,24,0,2,45,2,0,0,57145,13
Isaac,Hayden,1,4,69,25,1,3,45,3,0,0,153127,13
Sung-yueng,Ki,0,1,38,20,0,2,50,3,0,0,76542,13
Jamaal,Lascelles,0,1,95,36,0,4,45,2,0,0,101148,13
Florian,Lejeune,0,0,35,13,0,0,45,2,0,0,77359,13
Sean,Longstaff,1,1,26,9,0,2,50,3,0,0,180135,13
Javier,Manquillo,0,3,53,16,0,2,45,2,0,0,109528,13
Jose Luis,Mato Sanmartín,2,0,30,15,0,1,50,4,0,0,61316,13
Yoshinori,Muto,1,0,24,10,0,1,55,4,0,0,196118,13
Matt,Ritchie,2,8,110,40,0,9,55,2,0,0,56983,13
Fabian,Schär,4,1,93,23,0,12,50,2,0,0,119471,13
Jonjo,Shelvey,1,1,39,13,0,1,50,3,0,0,50232,13
Frederick,Woodman,0,0,0,0,0,0,40,1,10,29,155503,13
DeAndre,Yedlin,1,2,63,41,1,6,45,2,0,0,151119,13
Maximillian,Aarons,0,0,0,0,0,0,45,2,0,0,232980,14
Emiliano,Buendía,0,0,0,0,0,0,60,3,0,0,195546,14
Sam,Byram,0,0,0,0,0,0,45,2,0,0,113564,14
Todd,Cantwell,0,0,0,0,0,0,45,3,0,0,193111,14
Josip,Drmic,0,0,0,0,0,0,55,4,0,0,81048,14
Ralf,Fahrmann,0,0,0,0,0,0,45,1,3,8,28082,14
Ben,Godfrey,0,0,0,0,0,0,45,2,0,0,198826,14
Grant,Hanley,0,0,0,0,0,0,40,2,0,0,83428,14
Onel,Hernández,0,0,0,0,0,0,55,3,0,0,89470,14
Timm,Klose,0,0,0,0,0,0,45,2,0,0,84384,14
Tim,Krul,0,0,0,0,0,0,45,1,3,32,20480,14
Moritz,Leitner,0,0,0,0,0,0,45,3,0,0,87396,14
Jamal,Lewis,0,0,0,0,0,0,45,2,0,0,194799,14
Michael,McGovern,0,0,0,0,0,0,40,1,2,11,18499,14
Kenny,McLean,0,0,0,0,0,0,50,3,0,0,78607,14
Teemu,Pukki,0,0,0,0,0,0,65,4,0,0,57127,14
Patrick,Roberts,0,0,0,0,0,0,55,3,0,0,124165,14
Dennis,Srbeny,0,0,0,0,0,0,55,4,0,0,179587,14
Marco,Stiepermann,0,0,0,0,0,0,55,3,0,0,71738,14
Alexander,Tettey,0,0,0,0,0,0,45,3,0,0,18665,14
Tom,Trybull,0,0,0,0,0,0,45,3,0,0,90440,14
Mario,Vrancic,0,0,0,0,0,0,65,3,0,0,37614,14
Christoph,Zimmermann,0,0,0,0,0,0,45,2,0,0,192303,14
George,Baldock,0,0,0,0,0,0,45,2,0,0,82691,15
Chris,Basham,0,0,0,0,0,0,45,2,0,0,40386,15
Shane,Duffy,5,2,115,55,1,4,50,2,0,0,61933,15
Jake,Eastwood,0,0,0,0,0,0,45,1,9,14,213280,15
John,Egan,0,0,0,0,0,0,45,2,0,0,108416,15
John,Fleck,0,0,0,0,0,0,50,3,0,0,47247,15
Luke,Freeman,0,0,0,0,0,0,55,3,0,0,49083,15
Kieron,Freeman,0,0,0,0,0,0,45,2,0,0,87121,15
Phil,Jagielka,1,0,22,4,1,0,45,2,0,0,7645,15
John,Lundstram,0,0,0,0,0,0,40,2,0,0,153723,15
David,McGoldrick,0,0,0,0,0,0,55,4,0,0,27436,15
Simon,Moore,0,0,0,0,0,0,45,1,3,13,74854,15
Ravel,Morrison,0,0,0,0,0,0,50,3,0,0,90518,15
Oliver,Norwood,0,0,0,0,0,0,50,3,0,0,79934,15
Jack,O'Connell,0,0,0,0,0,0,45,2,0,0,146610,15
Callum,Robinson,0,0,0,0,0,0,55,3,0,0,171975,15
Billy,Sharp,0,0,0,0,0,0,60,4,0,0,18867,15
Richard,Stearman,0,0,0,0,0,0,40,2,0,0,18832,15
Enda,Stevens,0,0,0,0,0,0,50,2,0,0,63426,15
Che,Adams,0,0,0,0,0,0,60,4,0,0,200439,16
Stuart,Armstrong,3,4,75,26,0,2,55,3,0,0,91047,16
Charlie,Austin,2,2,46,17,0,1,60,4,0,0,78356,16
Jan,Bednarek,0,1,49,37,0,7,45,2,0,0,171771,16
Ryan,Bertrand,1,0,56,42,0,8,50,2,0,0,40146,16
Moussa,Djenepo,0,0,0,0,0,0,55,3,0,0,431131,16
Mohamed,Elyounoussi,0,0,28,10,0,0,55,3,0,0,96787,16
Fraser,Forster,0,0,2,3,0,0,45,1,10,17,40383,16
